fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,wine_type
0.8367,4.1327,-2.0552,0.0429,0.1246,0.0174,0.0115,0.2277,0.5891,0.1517,0.4348,3,red
-0.7832,-0.6662,0.2159,0.0015,0.0698,0.0799,0.2419,0.0866,0.5039,0.118,0.4348,3,white
3.3824,1.4599,2.3493,0.0245,0.108,0.0312,0.0945,0.2639,0.4109,0.1966,0.1449,3,red
0.1425,5.1349,-2.1928,0.056,0.1462,0.0139,0.0184,0.183,0.7054,0.1798,0.3913,3,red
-0.3204,-0.4839,0.147,0.2224,0.0847,0.1424,0.3594,0.1916,0.4031,0.1685,0.3623,3,white
2.4567,1.6421,1.1793,0.023,0.3173,0.0139,0.023,0.2369,0.3411,0.2303,0.058,3,red
2.4567,0.6095,0.6976,0.0138,0.2259,0.1146,0.0968,0.2161,0.5116,0.3596,0.2754,3,red
-2.326,-0.7573,-0.61,0.069,0.0532,0.2188,0.3479,0.1884,0.5426,0.1236,0.0,3,white
-0.3204,2.8874,-2.1928,0.0092,0.4286,0.0521,0.053,0.1465,0.4651,0.1629,0.2609,3,red
0.2968,7.5344,-2.1928,0.023,0.2126,0.0139,0.0069,0.1475,0.6047,0.1011,0.4203,3,red
-0.8604,-0.8484,0.147,0.1365,0.0532,0.1285,0.4493,0.1521,0.3256,0.1236,0.3043,3,white
1.6853,-0.6054,-0.1971,0.1212,0.0465,0.4271,0.4654,0.1319,0.1395,0.0899,0.4348,3,white
0.7596,-0.4839,0.8352,0.0107,0.0615,0.0208,0.1452,0.1405,0.3256,0.2247,0.3188,4,white
-1.5546,0.3969,-1.1605,0.013,0.0482,0.0312,0.0876,0.0798,0.6202,0.1011,0.5217,4,white
-0.8604,1.5814,-2.1928,0.0107,0.0548,0.0799,0.1682,0.127,0.4574,0.0899,0.2029,4,white
-0.5518,1.0954,-1.0229,0.0123,0.0631,0.0139,0.0461,0.1174,0.4186,0.0562,0.2899,4,white
-1.4775,-0.2409,-0.8164,0.0077,0.113,0.1632,0.3687,0.1405,0.4496,0.1798,0.1014,4,white
0.0653,0.9132,0.0094,0.0706,0.0565,0.059,0.2258,0.156,0.4031,0.1292,0.3913,4,white
0.5282,-1.0914,-0.1282,0.0644,0.0465,0.125,0.3802,0.1849,0.5814,0.1236,0.1449,4,white
1.531,-0.7269,0.56,0.0276,0.0748,0.059,0.3341,0.156,0.2481,0.1348,0.1884,4,white
0.8367,1.7332,-0.8164,0.0138,0.1179,0.0903,0.2604,0.1945,0.3411,0.5056,0.1594,4,red
0.8367,2.037,-0.4035,0.023,0.1246,0.0347,0.0853,0.2022,0.4574,0.1742,0.1739,4,red
0.6053,1.9459,2.7622,0.26,0.0548,0.2118,0.523,0.2466,0.155,0.2584,0.2029,4,white
-0.0118,0.3665,2.074,0.1564,0.0532,0.2396,0.4217,0.2022,0.2791,0.1517,0.087,4,white
-0.2432,0.3058,-0.6788,0.0567,0.0349,0.0312,0.2212,0.1136,0.2171,0.3652,0.5217,4,white
-0.2432,0.4272,-0.6788,0.0552,0.0365,0.0312,0.2212,0.1136,0.2171,0.3596,0.5217,4,white
1.531,0.0628,0.4911,0.0046,0.0548,0.0486,0.1267,0.102,0.186,0.0337,0.3478,4,white
0.2968,-0.0587,0.2847,0.023,0.0415,0.0868,0.3825,0.1405,0.5426,0.1461,0.3623,4,white
-0.3975,-0.1802,-0.0594,0.1426,0.0515,0.0312,0.3894,0.1579,0.5736,0.1854,0.4928,4,white
-0.0118,-0.1802,0.9729,0.0675,0.0515,0.0069,0.053,0.0673,0.2481,0.1742,0.6522,4,white
1.9938,-0.5447,2.8998,0.1442,0.0781,0.1215,0.5046,0.2042,0.2636,0.118,0.2899,4,white
1.531,-0.3624,1.1793,0.1718,0.0548,0.0972,0.3018,0.2099,0.2946,0.0674,0.3043,4,white
-0.0118,0.3665,2.074,0.1564,0.0532,0.2396,0.4217,0.2022,0.2791,0.1517,0.087,4,white
-0.7061,0.3058,-0.5412,0.0966,0.0997,0.0278,0.2558,0.1367,0.3333,0.073,0.3188,4,white
-0.1661,1.3992,-1.5046,0.1181,0.1412,0.0764,0.4194,0.1945,0.5271,0.1404,0.1739,4,white
-0.1661,-0.6054,-0.9541,0.0107,0.0615,0.0278,0.129,0.1328,0.5116,0.1404,0.3043,4,white
0.7596,2.0673,-0.1282,0.023,0.0631,0.0556,0.3041,0.1521,0.3876,0.2753,0.4058,4,white
-1.1689,4.8008,-1.5735,0.0138,0.2708,0.0208,0.03,0.1328,0.6047,0.1461,0.2609,4,red
0.6053,-0.6662,0.3535,0.138,0.0748,0.0764,0.3525,0.209,0.4651,0.1404,0.2609,4,white
0.8367,-0.4232,0.9041,0.0107,0.0648,0.0243,0.1521,0.1405,0.2791,0.2191,0.3333,4,white
0.6053,-0.1195,-0.4035,0.0092,0.0681,0.0365,0.1889,0.1444,0.4031,0.0843,0.2174,4,white
-0.2432,-0.8484,0.147,0.0199,0.0565,0.0833,0.2995,0.1232,0.4574,0.2135,0.3043,4,white
-0.9375,0.3361,-2.1928,0.0123,0.0548,0.0208,0.1129,0.0817,0.5039,0.0899,0.4638,4,white
0.9139,-0.9091,0.6976,0.0153,0.0631,0.0278,0.2189,0.1328,0.2636,0.2416,0.4493,4,white
-2.0175,1.0954,-1.1605,0.023,0.0748,0.0243,0.1359,0.1213,0.9147,0.191,0.7391,4,red
1.2224,1.6421,-0.1282,0.0337,0.1312,0.0556,0.0922,0.2022,0.4186,0.1629,0.1884,4,red
-0.7832,0.5487,1.1793,0.089,0.0598,0.0382,0.2512,0.1772,0.4264,0.1966,0.1449,4,white
0.2968,-0.1802,1.1793,0.1963,0.088,0.1701,0.4263,0.2273,0.3876,0.1742,0.1449,4,white
-0.0889,1.8244,1.1793,0.0184,0.0681,0.0556,0.2811,0.1444,0.4574,0.2022,0.3768,4,white
0.991,-1.0306,1.1793,0.1258,0.0648,0.0764,0.235,0.1463,0.124,0.0674,0.3623,4,white
-0.0889,1.1562,-0.5412,0.0031,0.0332,0.0972,0.1843,0.1136,0.3411,0.0562,0.1594,4,white
-0.2432,-0.5447,-0.5412,0.046,0.0797,0.0417,0.182,0.1367,0.2093,0.1461,0.2174,4,white
-0.2432,-0.5447,-0.5412,0.046,0.0797,0.0417,0.182,0.1367,0.2093,0.1461,0.2174,4,white
-0.0118,1.2777,-1.5735,0.0138,0.1645,0.0521,0.3341,0.129,0.2713,0.1966,0.1739,4,white
-0.2432,-0.1195,-1.0917,0.0123,0.0698,0.0486,0.2074,0.1328,0.3876,0.0899,0.2174,4,white
-0.1661,0.3058,-0.5412,0.0061,0.0648,0.0243,0.2604,0.1001,0.2171,0.0506,0.3043,4,white
-0.9375,0.0628,0.9729,0.0046,0.0399,0.0278,0.1359,0.043,0.4031,0.073,0.5942,4,white
0.9139,-0.3017,-0.1971,0.0069,0.0382,0.0104,0.1129,0.0711,0.1473,0.0562,0.4928,4,white
-0.1661,1.6421,-0.4035,0.0169,0.0698,0.0833,0.3571,0.1444,0.4961,0.2135,0.3768,4,white
-0.5518,-0.4232,-0.8853,0.0552,0.0615,0.0174,0.2488,0.1618,0.4109,0.073,0.087,4,white
1.2224,0.0628,1.1793,0.0061,0.0449,0.0451,0.1152,0.0943,0.186,0.0618,0.3623,4,white
-0.0889,-0.6054,0.147,0.0092,0.0598,0.0174,0.2903,0.0812,0.3411,0.1348,0.4638,4,white
-1.0918,0.1235,0.4223,0.0046,0.0465,0.0069,0.159,0.0634,0.4341,0.0674,0.4928,4,white
-0.8604,-0.1195,0.3535,0.0184,0.0698,0.0417,0.447,0.1425,0.5969,0.1236,0.3623,4,white
-0.3204,0.6095,0.3535,0.069,0.0631,0.1562,0.4493,0.129,0.2791,0.2416,0.3623,4,white
-0.3204,-0.1195,0.147,0.0092,0.0581,0.0451,0.1406,0.0923,0.2558,0.1404,0.3768,4,white
-1.0146,-0.7877,-0.2659,0.0613,0.0731,0.1354,0.4447,0.1791,0.7752,0.2697,0.2899,4,white
-0.9375,1.5206,-2.1928,0.0031,0.0465,0.1007,0.2051,0.0619,0.2946,0.1011,0.4203,4,white
2.1481,3.4645,0.6976,0.0153,0.0781,0.1146,0.4032,0.1868,0.3023,0.1348,0.2899,4,white
-0.0118,0.9739,-2.1928,0.0031,0.0415,0.1562,0.2488,0.1174,0.3643,0.0674,0.1739,4,white
-0.3204,1.8244,-1.6423,0.1396,0.088,0.0868,0.3134,0.1945,0.5039,0.1348,0.1304,4,white
-1.0918,-0.3624,0.2159,0.0261,0.0731,0.1215,0.2488,0.102,0.4341,0.1573,0.3188,4,white
2.3024,0.6095,3.8633,0.0859,0.0664,0.066,0.2719,0.1868,0.2093,0.1629,0.2754,4,white
1.6081,-0.8484,0.0782,0.0169,0.0681,0.0937,0.3963,0.1598,0.3411,0.118,0.1449,4,white
1.3767,0.5487,-0.1282,0.0138,0.0681,0.0208,0.3894,0.154,0.3023,0.1292,0.2464,4,white
0.7596,-0.3017,1.1793,0.0061,0.0581,0.0972,0.2581,0.1097,0.4031,0.0787,0.4203,4,white
0.6825,-0.3624,0.9729,0.227,0.0831,0.1076,0.394,0.2562,0.4264,0.2022,0.1449,4,white
-0.2432,-0.4839,1.1793,0.0153,0.0814,0.1319,0.3687,0.181,0.7209,0.1685,0.2029,4,white
0.2968,0.8525,0.3535,0.0031,0.0465,0.0104,0.2166,0.0596,0.2403,0.0955,0.4928,4,white
2.071,4.0415,0.9729,0.0123,0.0615,0.1146,0.4124,0.183,0.2326,0.1517,0.3188,4,white
-0.5518,-0.3624,-0.2659,0.1212,0.0631,0.184,0.47,0.1752,0.2868,0.1798,0.1304,4,white
-0.9375,2.0066,-1.7111,0.0092,0.0847,0.0278,0.235,0.1155,0.3023,0.073,0.1014,4,white
0.2968,-0.4839,0.2847,0.0153,0.0382,0.0174,0.2304,0.1136,0.3333,0.1011,0.3478,4,white
-0.0118,-0.1195,1.0417,0.069,0.0581,0.0625,0.1359,0.075,0.2403,0.1067,0.6667,4,white
-1.3232,0.8828,-2.1928,0.0138,0.093,0.0243,0.2235,0.1328,0.7054,0.1011,0.2464,4,white
-0.6289,1.551,-1.2294,0.0706,0.0814,0.0486,0.2097,0.154,0.5116,0.0787,0.1449,4,white
-0.3204,-0.8484,-0.3347,0.0092,0.0415,0.0625,0.1429,0.0596,0.3256,0.0843,0.5362,4,white
0.6053,-1.0914,0.2847,0.0138,0.0399,0.0451,0.2673,0.1348,0.3721,0.0955,0.3333,4,white
1.9938,3.586,0.9041,0.1227,0.0714,0.1146,0.4171,0.2369,0.3101,0.2079,0.3188,4,white
0.5282,-0.3624,0.0094,0.046,0.0482,0.0278,0.1613,0.0943,0.2558,0.0506,0.5362,4,white
-0.6289,0.5487,-0.3347,0.0077,0.0748,0.0139,0.2396,0.1309,0.4031,0.1685,0.1594,4,white
1.9938,0.1235,0.9729,0.1518,0.0482,0.0104,0.1774,0.1637,0.1318,0.0449,0.3043,4,white
0.1425,0.6702,0.0094,0.0997,0.0581,0.0556,0.2558,0.1752,0.4651,0.1067,0.3478,4,white
-0.7832,0.6702,-0.4035,0.0583,0.0897,0.2153,0.4608,0.1328,0.4264,0.1685,0.2609,4,white
-0.6289,0.002,-0.8164,0.2193,0.0847,0.125,0.3594,0.2157,0.3178,0.1292,0.1449,4,white
0.2968,-0.6662,-0.4035,0.2255,0.0963,0.1076,0.3687,0.2215,0.2403,0.1236,0.1739,4,white
-0.6289,0.002,-0.8164,0.2193,0.0847,0.125,0.3594,0.2157,0.3178,0.1292,0.1449,4,white
-0.7061,-0.6054,0.3535,0.0184,0.0365,0.0174,0.1267,0.0499,0.4496,0.0674,0.6087,4,white
-1.7089,4.1327,-1.9176,0.0123,0.0598,0.1389,0.182,0.129,0.7984,0.1461,0.3623,4,red
1.6853,-0.3017,1.5923,0.0245,0.0681,0.0556,0.2604,0.1752,0.3101,0.264,0.3333,4,white
-0.5518,-0.0587,2.7622,0.0077,0.0864,0.0208,0.3341,0.1136,0.2868,0.1966,0.2174,4,white
-0.3204,-0.3017,-1.0917,0.0123,0.0482,0.4219,0.5265,0.0981,0.3333,0.1404,0.2899,4,white
0.6053,1.2777,-1.0229,0.1166,0.0515,0.0417,0.1244,0.1637,0.2868,0.0449,0.2174,4,white
-0.7061,1.5814,0.8352,0.1595,0.0681,0.1701,0.5507,0.1945,0.3643,0.1966,0.1884,4,white
0.2968,1.3384,-1.367,0.1503,0.1445,0.0729,0.394,0.2157,0.4651,0.1292,0.1594,4,white
-0.8604,-0.3624,-0.4723,0.1887,0.0748,0.1146,0.4217,0.208,0.4109,0.118,0.1449,4,white
-0.4747,0.245,-0.9541,0.0092,0.0548,0.066,0.1797,0.1078,0.3876,0.1292,0.3043,4,white
-0.3204,2.2192,-0.4723,0.0399,0.0648,0.0312,0.1175,0.1714,0.4961,0.1685,0.2174,4,white
-0.3204,2.0066,-0.1282,0.1902,0.4668,0.0729,0.4309,0.2177,0.2791,0.2528,0.1449,4,white
0.1425,-1.0306,0.56,0.0752,0.0465,0.1146,0.3571,0.1232,0.2558,0.2247,0.5072,4,white
-0.6289,-0.4232,-0.8853,0.0215,0.1246,0.0694,0.4263,0.1552,0.5969,0.2303,0.2319,4,white
0.3739,-0.3624,2.1428,0.161,0.0498,0.1979,0.3986,0.208,0.2791,0.1236,0.1159,4,white
-0.7832,2.7052,-2.1928,0.023,0.0847,0.0174,0.0161,0.1837,0.6744,0.2191,0.2899,4,red
-0.3975,4.2541,-1.6423,0.0261,0.0963,0.0625,0.0599,0.1806,0.6202,0.1966,0.4348,4,red
-0.5518,-0.3624,0.2159,0.1411,0.0963,0.2083,0.4009,0.1945,0.3333,0.1966,0.1449,4,white
-0.3204,3.4645,-1.7799,0.0215,0.0847,0.0104,0.0115,0.1698,0.6279,0.236,0.4203,4,red
-1.2461,1.7029,-1.9864,0.0138,0.1179,0.0174,0.0161,0.1517,0.7287,0.2247,0.3043,4,red
-0.0118,1.4599,1.5234,0.023,0.1744,0.0069,0.0069,0.1943,0.4729,0.1966,0.3333,4,red
-0.2432,0.8525,-0.8164,0.0199,0.1213,0.0278,0.0392,0.1685,0.5194,0.118,0.1522,4,red
1.531,1.0954,4.6892,0.0429,0.9983,0.1076,0.1452,0.2408,0.0155,1.0,0.2029,4,red
0.2196,-0.4839,1.8675,0.1718,0.0615,0.1979,0.3641,0.2126,0.3488,0.1348,0.1304,4,white
0.2196,-0.3017,-0.4035,0.2201,0.0963,0.1597,0.3963,0.2173,0.2481,0.1517,0.1739,4,white
-0.2432,-0.2409,-0.1282,0.0107,0.0731,0.0799,0.4147,0.1253,0.4419,0.1798,0.2754,4,white
0.2968,-0.7877,0.2159,0.0092,0.0532,0.0208,0.2304,0.0827,0.2636,0.1292,0.4783,4,white
1.531,-0.9091,0.6976,0.0215,0.0631,0.0521,0.2258,0.1554,0.2868,0.2472,0.2899,4,white
-0.6289,-0.4232,-0.8853,0.0199,0.1262,0.0694,0.4378,0.1552,0.5969,0.236,0.2174,4,white
-0.7832,0.245,-0.9541,0.1043,0.1429,0.0937,0.4355,0.2047,0.6279,0.2753,0.1739,4,white
-0.0889,-0.7877,-0.2659,0.0322,0.0415,0.0764,0.2419,0.1338,0.4884,0.236,0.3188,4,white
-0.4747,1.6421,-2.1928,0.0153,0.0997,0.0104,0.0046,0.1321,0.4729,0.0843,0.3478,4,red
0.6053,2.9785,-0.3347,0.0215,0.1179,0.0347,0.1313,0.1814,0.4419,0.1461,0.2609,4,red
-0.0889,-0.7877,-0.2659,0.0322,0.0415,0.0764,0.2419,0.1338,0.4884,0.236,0.3188,4,white
-0.6289,0.0628,0.2159,0.0767,0.0415,0.0278,0.3272,0.1407,0.3488,0.1573,0.2609,4,white
-0.3204,2.0673,-1.5735,0.0506,0.098,0.0486,0.053,0.1567,0.5349,0.1685,0.4493,4,red
0.2196,2.5229,-2.1928,0.0199,0.1246,0.0174,0.0138,0.1853,0.4806,0.1517,0.2464,4,red
0.2968,-0.1802,-0.61,0.1856,0.0748,0.066,0.3065,0.2169,0.3411,0.1573,0.2464,4,white
0.2968,-0.1802,-0.61,0.1856,0.0748,0.066,0.3065,0.2169,0.3411,0.1573,0.2464,4,white
0.991,0.3665,0.56,0.0874,0.0681,0.0069,0.0092,0.1648,0.4341,0.191,0.5797,4,red
-0.6289,1.1562,-1.5735,0.0506,0.1894,0.0451,0.0576,0.1868,0.6047,0.2528,0.4348,4,red
0.2968,2.0673,-2.0552,0.0107,0.1047,0.0278,0.0323,0.181,0.3488,0.4831,0.1739,4,red
0.0653,1.2777,-1.9864,0.0153,0.1047,0.0556,0.0829,0.1637,0.5039,0.1461,0.1449,4,red
-0.3204,1.7636,-1.9176,0.0107,0.0814,0.0833,0.2926,0.108,0.3488,0.0955,0.3188,4,white
-0.3204,1.7636,-1.9176,0.0107,0.0814,0.0833,0.2926,0.108,0.3488,0.0955,0.3188,4,white
-0.3975,1.2169,-0.3347,0.0997,0.0664,0.0243,0.3963,0.1525,0.3411,0.0899,0.2029,4,white
0.7596,2.6748,-2.1928,0.0245,0.1329,0.0417,0.0461,0.2061,0.5039,0.1348,0.2319,4,red
-0.7061,4.1327,-2.1928,0.0215,0.1229,0.0556,0.0415,0.14,0.6744,0.1854,0.4638,4,red
1.0682,0.002,0.2847,0.0123,0.0598,0.0347,0.2604,0.1629,0.3488,0.1404,0.2029,4,white
1.0682,0.002,0.2847,0.0123,0.0598,0.0347,0.2604,0.1629,0.3488,0.1404,0.2029,4,white
-0.3975,1.2169,-0.3347,0.0997,0.0664,0.0243,0.3963,0.1525,0.3411,0.0899,0.2029,4,white
2.3024,-0.6662,0.3535,0.0245,0.0797,0.0451,0.0691,0.1741,0.3953,0.1517,0.1884,4,red
-0.2432,4.5579,-1.7799,0.023,0.0864,0.0382,0.0576,0.1483,0.6124,0.118,0.4928,4,red
1.2224,3.7378,-1.8487,0.0184,0.1096,0.0139,0.03,0.1745,0.4496,0.1236,0.2319,4,red
-0.5518,3.2822,-1.9864,0.0767,0.1163,0.0764,0.0945,0.166,0.6667,0.1573,0.4638,4,red
-0.5518,1.4599,-2.1928,0.0245,0.1445,0.0069,0.0161,0.1631,0.6977,0.2247,0.5072,4,red
-0.9375,-0.0587,0.0094,0.1887,0.0748,0.0174,0.2465,0.166,0.4496,0.191,0.5072,4,red
0.6825,2.3711,-2.1928,0.0291,0.1196,0.0382,0.0415,0.2096,0.5116,0.1348,0.2319,4,red
-0.5518,2.0066,-2.1928,0.0567,0.0797,0.0347,0.0323,0.1498,0.5659,0.191,0.5507,4,red
-0.0118,1.6725,-1.5046,0.0123,0.098,0.0833,0.341,0.1519,0.3721,0.1461,0.2464,4,white
-0.0889,-0.6662,-0.5412,0.0736,0.0498,0.2049,0.4378,0.1483,0.3643,0.3146,0.2899,4,white
-0.3204,-0.4232,-0.1971,0.0613,0.0615,0.0174,0.1889,0.144,0.4806,0.1461,0.3768,4,white
0.1425,-0.3624,0.56,0.1733,0.0382,0.0417,0.1982,0.177,0.2248,0.1348,0.4058,4,white
-0.0889,-0.4232,-0.2659,0.01,0.0233,0.0069,0.1912,0.0544,0.1783,0.0449,0.4928,4,white
0.991,-0.7269,0.147,0.0015,0.0515,0.0139,0.0438,0.0904,0.2481,0.0843,0.3623,4,white
-0.9375,-1.3951,1.0417,0.1534,0.0714,0.2361,0.3272,0.1675,0.1473,0.0674,0.1884,4,white
0.9139,1.794,0.2847,0.0215,0.1329,0.0486,0.1129,0.1993,0.4574,0.1966,0.3478,4,red
0.0653,-0.3624,0.6976,0.0092,0.0399,0.0972,0.3134,0.0952,0.3488,0.118,0.3913,4,white
-0.7832,-0.5143,-0.5412,0.0169,0.0498,0.4774,0.6129,0.1429,0.6279,0.1742,0.2319,4,white
-0.5518,0.8525,-2.0552,0.0046,0.0565,0.1076,0.2143,0.0993,0.3256,0.1404,0.2609,4,white
1.1453,-0.2409,1.8675,0.0169,0.0615,0.0312,0.1475,0.1276,0.2636,0.191,0.4058,4,white
0.991,-0.8484,0.56,0.0077,0.0615,0.1042,0.2304,0.0931,0.2171,0.073,0.3623,4,white
1.531,-1.0914,1.1793,0.0215,0.0581,0.059,0.2327,0.1548,0.2946,0.1742,0.3188,4,white
-0.9375,-0.0587,-0.9541,0.0368,0.0449,0.0139,0.182,0.0798,0.4341,0.1011,0.5072,4,white
-0.7061,0.245,-1.0229,0.1258,0.1179,0.1701,0.4747,0.2105,0.5814,0.2472,0.2029,4,white
0.5282,3.3126,-1.9864,0.0184,0.0814,0.0104,0.0046,0.1945,0.4961,0.0618,0.1594,4,red
-0.2432,-0.2409,-0.1971,0.0107,0.0731,0.0799,0.4217,0.1255,0.4419,0.1798,0.2754,4,white
-0.3975,1.8244,-0.1282,0.0092,0.0349,0.059,0.1613,0.0403,0.3411,0.2135,0.7101,4,white
0.9139,2.0066,-0.8853,0.0245,0.1395,0.0347,0.159,0.1976,0.3721,0.2079,0.1739,4,red
-0.5518,-0.3017,-0.4723,0.0291,0.2209,0.0243,0.2419,0.1078,0.2171,0.1236,0.2754,4,white
3.6909,1.7636,1.2482,0.0123,0.103,0.0174,0.0461,0.2082,0.2713,0.2135,0.3478,4,red
-0.2432,-0.2409,0.2847,0.0598,0.0748,0.1042,0.4539,0.1546,0.5271,0.1966,0.3478,4,white
-0.3975,-0.7269,-0.6788,0.0092,0.0482,0.0139,0.2719,0.0746,0.2946,0.0843,0.4638,4,white
-1.0146,1.9155,-2.1928,0.0767,0.0399,0.0243,0.0576,0.1251,0.4651,0.1629,0.3623,4,white
-0.9375,1.6725,-1.9176,0.0031,0.0382,0.0243,0.1014,0.0627,0.3256,0.1011,0.4348,4,white
3.3824,0.7917,0.8352,0.0153,0.2292,0.1215,0.1037,0.2169,0.5116,0.3596,0.2754,4,red
0.2196,2.0977,-1.7111,0.0291,0.0814,0.0139,0.0069,0.1776,0.5116,0.1854,0.4203,4,red
-0.2432,-0.9091,1.9364,0.0521,0.0465,0.0174,0.2673,0.1049,0.155,0.2079,0.3478,4,white
-0.8604,1.5814,-1.367,0.0184,0.0681,0.0347,0.1613,0.1074,0.5426,0.1461,0.3478,4,white
-0.2432,0.3058,-0.5412,0.023,0.1545,0.0104,0.0023,0.1448,0.5581,0.2022,0.4928,4,red
-0.5518,-0.1195,1.1105,0.1135,0.0282,0.059,0.1889,0.0835,0.3876,0.3202,0.6812,4,white
-0.0889,0.7917,-2.1928,0.0245,0.0963,0.0208,0.0184,0.1554,0.5271,0.2022,0.4203,4,red
0.0653,0.0628,-0.5412,0.0215,0.0963,0.0937,0.0968,0.1668,0.5504,0.1798,0.2899,4,red
0.1425,-0.4232,-0.0594,0.0276,0.0083,0.0486,0.3157,0.0738,0.2403,0.2416,0.5797,4,white
0.991,-0.9699,-0.1282,0.0077,0.0316,0.1146,0.2051,0.1082,0.0853,0.0787,0.2899,4,white
0.2196,0.245,1.1105,0.0307,0.1063,0.0729,0.1797,0.1945,0.4651,0.2697,0.2319,4,red
0.2196,4.7097,-1.5046,0.0383,0.1279,0.0139,0.0138,0.1675,0.6357,0.2135,0.4638,4,red
1.4539,2.5837,-1.9176,0.0153,0.1146,0.0104,0.0184,0.2099,0.4419,0.1798,0.2464,4,red
-0.0889,3.0393,-2.0552,0.0583,0.1445,0.0139,0.0161,0.1907,0.5349,0.1966,0.4348,4,red
0.8367,3.0696,-2.124,0.0245,0.1013,0.0139,0.0184,0.1849,0.4651,0.2022,0.4348,4,red
2.2253,3.6163,-0.6788,0.0429,0.1595,0.0347,0.1843,0.2678,0.5504,0.236,0.4783,4,red
-0.3204,2.3711,-0.8164,0.092,0.0748,0.0833,0.1359,0.1182,0.3101,0.0337,0.4493,4,white
0.7596,3.4948,-0.3347,0.023,0.1312,0.0208,0.0392,0.1752,0.4186,0.1404,0.2899,4,red
0.0653,0.1235,1.5234,0.1948,0.0748,0.2153,0.4309,0.2223,0.2636,0.1517,0.087,4,white
-1.8632,1.8851,-1.367,0.0077,0.0066,0.0104,0.0092,0.1031,0.4651,0.0787,0.7971,4,white
1.1453,-0.1802,-0.7476,0.0767,0.0498,0.0937,0.1406,0.119,0.186,0.1685,0.4348,4,white
2.5338,1.5206,1.1793,0.023,0.1013,0.0451,0.0945,0.2312,0.4496,0.191,0.2319,4,red
0.2196,0.002,-0.5412,0.0498,0.0365,0.0139,0.0645,0.0746,0.2248,0.0787,0.5507,4,white
-0.2432,2.4926,-1.2982,0.0874,0.0449,0.0625,0.1014,0.1159,0.2868,0.0169,0.4493,4,white
0.0653,0.245,-0.61,0.0905,0.0681,0.059,0.2212,0.1143,0.2946,0.1854,0.4638,4,white
2.071,0.9739,-0.5412,0.0261,0.1561,0.0174,0.0184,0.2061,0.4806,0.1685,0.2899,4,red
-0.1661,3.8593,-1.9176,0.0215,0.1296,0.0382,0.1406,0.1646,0.4884,0.2135,0.2029,4,red
-0.7061,-0.4232,1.317,0.1074,0.0664,0.1181,0.447,0.1614,0.3411,0.1798,0.2029,4,white
0.6825,3.2215,-2.1928,0.0414,0.1445,0.0868,0.1267,0.2533,0.6822,0.2809,0.2609,4,red
-1.0918,-0.3624,-0.9541,0.0092,0.0814,0.0208,0.235,0.1112,0.3953,0.2022,0.2246,4,white
-0.7061,-0.4232,1.317,0.1074,0.0664,0.1181,0.447,0.1614,0.3411,0.1798,0.2029,4,white
-1.0918,-0.4839,-0.1282,0.0307,0.0415,0.2569,0.2834,0.0596,0.3721,0.0899,0.5072,4,white
